PSQLGTACT1LUN02	11:42:01	48.53M
SEN1HOST11LUN01	12:42:01	42.43M
PSQLBI1V2LUN02	02:42:36	42.32M
SEN3HOST3LUN01	23:02:06	41.91M
SEN1HOST11LUN01	12:12:01	41.76M
SEN1HOST11LUN01	13:31:31	41.73M
SEN1HOST11LUN01	13:16:31	41.70M
SEN1HOST11LUN01	11:52:01	41.55M
DSQLGIANT3LUN01	11:02:01	41.38M
TGSANDAMLLS1LUN01	10:16:31	41.25M
PSQLBI1V2LUN02	15:42:36	39.58M
WLSCPRDLZLUN01	21:12:06	39.13M
PSQLGEKF1LUN03	20:52:36	38.09M
PSQLGEKF1LUN03	21:02:36	38.07M
PSQLGEKF1LUN03	21:22:36	38.03M
PSQLGEKF1LUN03	21:32:36	38.01M
PSQLGEKF1LUN03	21:47:36	37.98M
PSQLGEKF1LUN01	11:01:31	37.26M
SRMAPPRDLZ1LUN04	19:47:06	37.04M
DSQLGIANT3LUN01	11:01:31	36.23M
PSQLBI1V2LUN02	15:07:36	36.15M
PSQLBI1V2LUN02	05:37:06	36.10M
DSQLSHARED1LUN01	10:31:31	35.72M
WLSDPRDGZ2LUN05	21:17:06	32.96M
SEN3HOST6LUN1	18:47:36	31.88M
PDMZCL1LUN1	03:07:36	31.63M
TGSANDAMLLS1LUN01	10:21:31	31.10M
OASPRODLUN05	21:12:36	30.23M
WLSIPRDGZLUN01	21:17:06	30.19M
WLSCPRDLZLUN01	21:12:36	29.94M
WLSDPRDGZ2LUN05	21:17:36	29.89M
SEN3HOST4LUN01	02:07:36	29.66M
SEN3HOST09	06:17:01	29.08M
DSQLGIANT3LUN01	11:06:31	28.97M
PSQLFULLV1LUN01	06:11:31	28.81M
DB2SRSPRDLUN01	03:02:36	27.94M
PSQLFULLV1ALUN1	06:11:31	27.92M
WASSRSPRDZFSLUN01SSSNP-prdlz2	06:12:01	27.47M
SEN3HOST11	09:22:01	27.21M
WASSBPRDLZ1LUN04	06:26:31	27.04M
WLSDPRDGZ2LUN05	21:12:36	26.87M
SEN3HOST09	12:17:01	25.44M
PSQLCPR2LUN03	16:02:36	24.85M
PSQLCPR2LUN03	10:47:01	24.85M
PSQLFULLV1ALUN1	05:52:36	24.36M
PSQLFULLV1ALUN1	13:06:01	24.12M
PSQLGEKF1LUN02	11:01:31	23.72M
PSQLFULLV1LUN01	13:06:01	23.60M
SGRCPRDGLUN03	20:22:06	23.40M
SEN3HOST3LUN01	02:02:06	23.39M
WLSCTPRDLUN01	21:12:36	23.17M
SEN3HOST4LUN01	01:57:36	22.91M
PSQLFULLV1LUN01	05:52:36	22.44M
PSQLFULLV1ALUN1	05:57:36	22.40M
SEN3HOST6LUN1	18:42:06	22.37M
PSQLFULLV1LUN01	05:57:36	22.36M
PSQLFULLV1ALUN1	13:06:31	22.29M
PSQLFULLV1LUN01	13:06:31	22.26M
SEN3HOST11	10:07:01	21.93M
PDMZCL1LUN2	06:11:31	21.63M
SEN3HOST11	06:11:31	21.31M
PDMZCL1LUN1	03:02:36	21.28M
SEN3HOST4LUN01	06:11:31	20.54M
WLSDPRDGZ2LUN05	21:22:06	20.27M
PPROPHHLUN01	11:52:01	20.20M
PDMZCL1LUN1	06:11:31	20.02M
OASPRODLUN05	21:17:06	19.87M
SEN1HOST10LUN01	03:07:36	19.36M
SEN1HOST10LUN01	03:12:36	19.16M
PDMZCL1LUN1	03:07:06	19.09M
SEN3HOST09	06:21:31	18.88M
CALPRELZ1LUN01	15:12:36	18.84M
CALPRDLZ1LUN03	15:12:36	18.84M
PPROPHHLUN01	12:21:31	18.62M
SEN1HOST9LUN01	16:07:36	18.61M
UNIVERSELUN01	23:37:36	18.57M
WLSCTPRDLUN01	21:12:06	18.52M
OASPRODLUN05	21:12:06	18.52M
WASSRSLUN01	07:22:01	18.20M
CMPCUPRDLUN001	07:22:01	18.20M
SEN3HOST3LUN01	06:11:31	18.08M
UNIVERSELUN01	22:22:36	17.93M
SEN3HOST09	10:31:31	17.91M
SEN3HOST09	06:16:31	17.90M
SEN3HOST4LUN01	02:02:36	17.24M
SEN3HOST4LUN01	02:02:06	16.91M
DB2SRSPRDLUN01	03:07:06	16.84M
WASSRSPRDZFSLUN01	23:02:36	16.53M
SEN1HOST9LUN01	06:11:31	16.40M
WASSBPRDLZ1LUN04	18:02:36	15.94M
PSQLOAL5LUN01	19:02:06	15.79M
DB2SRSPRDLUN01	03:02:06	15.66M
WASSBPRDLZ1LUN03	07:27:01	15.64M
SBLCL3LUN03	10:52:01	15.59M
UNIVERSELUN01	22:32:36	15.32M
SEN1HOST9LUN01	11:51:31	14.94M
UNIVERSELUN01	22:42:36	14.74M
SBLCL3LUN03	06:07:01	14.50M
DGIANT4LUN001	06:07:01	14.37M
WLSDPRDGZ2LUN05	21:12:06	14.04M
DSQLGTACT1LUN01	11:06:31	14.02M
DSQLGIANT3LUN01	11:17:01	14.02M
UNIVERSELUN01	02:17:36	13.69M
SEN3HOST8LUN1	06:07:01	13.57M
SEN1HOST12LUN01	06:11:31	13.44M
WASSRSPRDZFSLUN01	03:02:36	13.03M
WASSBPRDLZ1LUN03	12:16:31	12.92M
SEN1HOST9LUN01	06:07:01	12.90M
DSQLGTACT1LUN01	11:07:01	12.86M
WLSCTDEVPLZ2LUN03	12:17:01	12.78M
SEN1HOST10LUN01	06:11:31	12.73M
WASSRSPRDZFSLUN01	23:07:06	12.66M
PPROPHHLUN01	11:47:01	12.65M
WLSCTDEVPLZ2LUN03	13:46:31	12.51M
SEN3HOST1LUN01	06:11:31	12.51M
SBLCL3LUN04	06:07:01	12.45M
